title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
FIFA Soccer 2005;;EA Sports;Oct 12, 2004;;;;;;5.0;1;1;0;0;EA Canada;Sports, Traditional, Soccer, Sim;1-2;E;;;;https://www.metacritic.com/game/playstation/fifa-soccer-2005
Madden NFL 2005;;EA Sports;Sep  7, 2004;;;;;;7.6;3;3;0;0;EA Tiburon;;;;;;;https://www.metacritic.com/game/playstation/madden-nfl-2005
MLB 2005;;SCEA;Mar  4, 2004;;;;;;9.1;3;2;1;0;989 Sports;;;;;;;https://www.metacritic.com/game/playstation/mlb-2005
FIFA Soccer 2004;;EA Sports;Nov  4, 2003;;;;;;7.1;7;6;0;1;EA Sports;;;;;;;https://www.metacritic.com/game/playstation/fifa-soccer-2004
NFL GameDay 2004;;SCEA;Sep 13, 2003;;;;;;7.5;1;0;0;1;989 Sports;;;;;;;https://www.metacritic.com/game/playstation/nfl-gameday-2004
Madden NFL 2004;;EA Sports;Aug 12, 2003;;;;;;8.9;18;16;1;1;BudCat;Sports, Traditional, Football, Sim;1-2;E;;;;https://www.metacritic.com/game/playstation/madden-nfl-2004
MLB 2004;;989 Sports;Apr 30, 2003;68;4;1;3;0;tbd;1;1;0;0;989 Sports;Sports, Traditional, Baseball, Sim;1-2;E;;;;https://www.metacritic.com/game/playstation/mlb-2004
Patriotic Pinball;;Gotham Games;Apr 22, 2003;;;;;;tbd;1;1;0;0;Wildfire Studios;;;;;;;https://www.metacritic.com/game/playstation/patriotic-pinball
Inuyasha: A Feudal Fairy Tale;;Bandai;Apr 10, 2003;69;5;3;2;0;8.7;61;52;7;2;Dimps Corporation;Action, Fighting, 2D;1-2;T;;;;https://www.metacritic.com/game/playstation/inuyasha-a-feudal-fairy-tale
Final Fantasy Origins;;Square Enix;Apr  8, 2003;79;21;15;6;0;8.7;32;28;4;0;TOSE;Role-Playing, Console-style RPG;1 Player;T;Kazuhiko Yoshioka, Hideshi Kyonen, Katsuyoshi Kawahara;;;https://www.metacritic.com/game/playstation/final-fantasy-origins
Dragon Ball Z: Ultimate Battle 22;;Atari;Mar 25, 2003;25;9;0;2;7;5.0;25;8;4;13;Bandai;Action, Fighting, 2D;1-2;T;;;;https://www.metacritic.com/game/playstation/dragon-ball-z-ultimate-battle-22
E.T. Interplanetary Mission;;NewKidCo;Dec 30, 2002;50;4;2;1;1;3.0;1;0;1;0;Santa Cruz Games;Action, Platformer, 3D;1 Player;E;;;;https://www.metacritic.com/game/playstation/et-interplanetary-mission
Harry Potter and the Chamber of Secrets;;EA Games;Nov 14, 2002;;;;;;8.5;19;16;1;2;Argonaut Games;;;;;;;https://www.metacritic.com/game/playstation/harry-potter-and-the-chamber-of-secrets
Disney's Treasure Planet;;SCEA;Nov 11, 2002;44;5;0;3;2;5.3;3;1;1;1;Magenta Software;Action, Platformer, 3D;1 Player;E;;;;https://www.metacritic.com/game/playstation/disneys-treasure-planet
FIFA Soccer 2003;;EA Sports;Nov 11, 2002;;;;;;6.4;8;6;0;2;EA Canada;;;;;;;https://www.metacritic.com/game/playstation/fifa-soccer-2003
Tony Hawk's Pro Skater 4;;Activision;Oct 23, 2002;;;;;;8.2;21;15;4;2;Vicarious Visions;Sports, Alternative, Skateboarding;1-2;E;;;;https://www.metacritic.com/game/playstation/tony-hawks-pro-skater-4
NBA Live 2003;;Electronic Arts;Oct  8, 2002;;;;;;8.5;7;5;2;0;EA Canada;;;;;;;https://www.metacritic.com/game/playstation/nba-live-2003
NBA ShootOut 2003;;989 Studios;Sep 29, 2002;;;;;;2.2;4;1;0;3;989 Studios;;;;;;;https://www.metacritic.com/game/playstation/nba-shootout-2003
NASCAR Thunder 2003;;Electronic Arts;Sep 19, 2002;;;;;;7.7;7;7;0;0;BudCat;;;;;;;https://www.metacritic.com/game/playstation/nascar-thunder-2003
Capcom vs. SNK Pro;;Capcom;Aug 14, 2002;74;10;5;5;0;8.5;16;14;2;0;Klein Computer Entertainment;Action, Fighting, 2D;1-2;T;;;;https://www.metacritic.com/game/playstation/capcom-vs-snk-pro
Madden NFL 2003;;EA Sports;Aug 13, 2002;;;;;;8.6;5;5;0;0;EA Sports;;;;;;;https://www.metacritic.com/game/playstation/madden-nfl-2003
NFL GameDay 2003;;SCEA;Aug 13, 2002;61;4;0;4;0;tbd;2;1;1;0;989 Sports;;;;;;;https://www.metacritic.com/game/playstation/nfl-gameday-2003
C-12: Final Resistance;;SCEA;Jul 22, 2002;63;12;4;7;1;8.6;10;7;3;0;SCE Studio Cambridge;Action, Shooter, Third-Person, Sci-Fi;1 Player;T;;;;https://www.metacritic.com/game/playstation/c-12-final-resistance
Stuart Little 2;;SCEA;Jul 17, 2002;62;7;1;6;0;7.6;2;1;1;0;Magenta Software;Action, Platformer, 3D;1 Player;E;;;;https://www.metacritic.com/game/playstation/stuart-little-2
Gundam Battle Assault 2;;Bandai;Jul 17, 2002;80;4;4;0;0;8.5;11;10;1;0;Natsume;Action, Fighting, 2D;1-2;T;Misuo Matsunoto;;;https://www.metacritic.com/game/playstation/gundam-battle-assault-2
Delta Force: Urban Warfare;;NovaLogic;Jul  2, 2002;70;5;2;3;0;8.3;12;11;0;1;Rebellion;Action, Shooter, First-Person, Tactical, Modern;1 Player;T;;;;https://www.metacritic.com/game/playstation/delta-force-urban-warfare
MLB 2003;;SCEA;Jun 17, 2002;78;7;6;1;0;7.9;8;7;0;1;989 Sports;Sports, Traditional, Baseball, Arcade;1-2;E;;;;https://www.metacritic.com/game/playstation/mlb-2003
Super Shot Soccer;;Tecmo;Jun 14, 2002;70;6;2;4;0;6.4;0;0;0;0;Tecmo;Sports, Traditional, Soccer, Arcade;1-2;E;Hiroshi Nishizawa;;;https://www.metacritic.com/game/playstation/super-shot-soccer
Disney's Lilo & Stitch;;SCEA;Jun 14, 2002;54;7;1;4;2;7.1;4;4;0;0;Blitz Games;Action, Platformer, 3D;1 Player;E;;;;https://www.metacritic.com/game/playstation/disneys-lilo-stitch
Digimon World 3;;Bandai;Jun  5, 2002;47;6;0;3;3;8.4;99;84;9;6;Boom;Role-Playing, Console-style RPG;1 Player;E;;;;https://www.metacritic.com/game/playstation/digimon-world-3
Creatures;;Conspiracy Entertainment;May 18, 2002;43;4;1;2;1;7.0;5;2;2;1;Creature Labs;Strategy, Breeding/Constructing;1 Player;E;;;;https://www.metacritic.com/game/playstation/creatures
Power Play: Sports Trivia;;Ubisoft;May  6, 2002;;;;;;8.3;0;0;0;0;Starsphere Interactive;Miscellaneous, Trivia / Game Show;1-4;E;;;;https://www.metacritic.com/game/playstation/power-play-sports-trivia
Big Bass Fishing;;Take-Two Interactive;May  2, 2002;;;;;;7.2;4;2;0;2;Coresoft;Sports, Nature, Fishing;1 Player;E;;;;https://www.metacritic.com/game/playstation/big-bass-fishing
2002 FIFA World Cup;;EA Sports;Apr 30, 2002;;;;;;4.3;10;1;2;7;EA Sports;Sports, Traditional, Soccer, Sim;1-4;E;;;;https://www.metacritic.com/game/playstation/2002-fifa-world-cup
Dance Dance Revolution Konamix;;Konami;Apr 25, 2002;84;13;12;1;0;8.4;11;11;0;0;Konami;Miscellaneous, Rhythm, Dancing;1-2;E;;;;https://www.metacritic.com/game/playstation/dance-dance-revolution-konamix
Arc the Lad Collection;;Working Designs;Apr 18, 2002;78;14;10;4;0;8.8;10;10;0;0;ARC Entertainment;Miscellaneous, Compilation;1-2;T;Kou Satou;;Masahiro Andoh;https://www.metacritic.com/game/playstation/arc-the-lad-collection
Rayman Rush;;Ubisoft;Mar 26, 2002;62;5;1;3;1;6.1;3;1;2;0;Ubisoft Shanghai;Miscellaneous, Party;1-2;E;;;;https://www.metacritic.com/game/playstation/rayman-rush
Hooters Road Trip;;Ubisoft;Mar 26, 2002;30;6;0;0;6;0.4;4;0;0;4;Hoplite Research;Driving, Mission-based;1 Player;T;;;;https://www.metacritic.com/game/playstation/hooters-road-trip
Yu-Gi-Oh! Forbidden Memories;;Konami;Mar 20, 2002;57;6;0;5;1;8.6;157;124;22;11;KCEJ;Miscellaneous, Card Battle;1-2;E;;;;https://www.metacritic.com/game/playstation/yu-gi-oh!-forbidden-memories
Digimon Rumble Arena;;Bandai;Feb 24, 2002;64;5;1;4;0;8.7;31;28;2;1;Bandai;Action, Fighting, 2D;1-2;E;;;;https://www.metacritic.com/game/playstation/digimon-rumble-arena
Peter Pan in Disney's Return to Neverland;;SCEA;Feb 14, 2002;59;5;1;3;1;5.5;3;2;0;1;Doki Denki;Action, Platformer, 2D;1 Player;E;;;;https://www.metacritic.com/game/playstation/peter-pan-in-disneys-return-to-neverland
Hoshigami: Ruining Blue Earth;;Atlus Co.;Dec 20, 2001;62;9;3;5;1;8.7;19;17;0;2;Max Five;Strategy, Turn-Based, Fantasy;1 Player;E;;;;https://www.metacritic.com/game/playstation/hoshigami-ruining-blue-earth
Mega Man X6;;Capcom;Dec  4, 2001;65;14;6;5;3;6.8;18;6;5;7;Capcom;Action, Platformer, 2D;1 Player;E;OHKOOMI 16;;;https://www.metacritic.com/game/playstation/mega-man-x6
Gunfighter: The Legend of Jesse James;;Ubisoft;Nov 30, 2001;55;7;0;6;1;tbd;2;0;2;0;Rebellion;Action, Shooter, Light Gun;1 Player;T;;;;https://www.metacritic.com/game/playstation/gunfighter-the-legend-of-jesse-james
Twisted Metal Small Brawl;;SCEA;Nov 26, 2001;51;14;1;7;6;7.4;33;20;7;6;Incognito Inc.;Driving, Car Combat;1-2;T;;;;https://www.metacritic.com/game/playstation/twisted-metal-small-brawl
IHRA Drag Racing;;Bethesda Softworks;Nov 20, 2001;;;;;;6.3;4;2;2;0;Digital Dialect;;;;;;;https://www.metacritic.com/game/playstation/ihra-drag-racing
Harry Potter and the Sorcerer's Stone;;Electronic Arts;Nov 15, 2001;64;11;4;6;1;7.5;17;11;5;1;Argonaut Games;Action Adventure, Fantasy;1 Player;E;;;;https://www.metacritic.com/game/playstation/harry-potter-and-the-sorcerers-stone
The Powerpuff Girls: Chemical X-Traction;;Bam Entertainment;Nov  8, 2001;30;6;0;2;4;tbd;1;1;0;0;VIS Entertainment;Action, General;1-2;E;;;;https://www.metacritic.com/game/playstation/the-powerpuff-girls-chemical-x-traction
Syphon Filter 3;;SCEA;Nov  5, 2001;73;19;9;9;1;8.5;9;8;1;0;Sony Bend;Action, Shooter, Third-Person, Modern;1-2;M;;;;https://www.metacritic.com/game/playstation/syphon-filter-3
Martian Gothic: Unification;;Take-Two Interactive;Nov  4, 2001;64;4;1;3;0;6.7;8;1;5;2;Coyote Developments;Adventure, Third-Person, Sci-Fi;1 Player;M;;;;https://www.metacritic.com/game/playstation/martian-gothic-unification
FIFA Soccer 2002;;EA Sports;Nov  1, 2001;81;8;6;2;0;4.7;0;0;0;0;EA Sports;;;;;;;https://www.metacritic.com/game/playstation/fifa-soccer-2002
Men in Black - The Series: Crashdown;;Infogrames;Nov  1, 2001;59;7;2;4;1;5.8;2;1;0;1;Runecraft;Action, General;1 Player;T;;;;https://www.metacritic.com/game/playstation/men-in-black---the-series-crashdown
Dragon Warrior VII;;Enix Corporation;Oct 31, 2001;78;15;11;4;0;8.3;10;10;0;0;Heart Beat;Role-Playing, Console-style RPG;1 Player;T;;;;https://www.metacritic.com/game/playstation/dragon-warrior-vii
Monsters, Inc. Scream Team;;SCEA;Oct 30, 2001;65;10;4;6;0;6.9;1;1;0;0;Artificial Mind and Movement;Action, General;1 Player;E;;;;https://www.metacritic.com/game/playstation/monsters-inc-scream-team
NBA Live 2002;;Electronic Arts;Oct 30, 2001;81;6;4;2;0;8.6;4;3;0;1;EA Canada;Sports, Traditional, Basketball, Sim;1-8;E;;;;https://www.metacritic.com/game/playstation/nba-live-2002
Tony Hawk's Pro Skater 3;;Activision;Oct 29, 2001;87;10;8;2;0;8.1;17;14;2;1;Shaba Games;Sports, Alternative, Skateboarding;1-2;E;;;;https://www.metacritic.com/game/playstation/tony-hawks-pro-skater-3
